name,player_type,steam_id,reason,banned_time,release,complaint_times,register_days,playing_hours,best_weapon,best_weapon_heatshot,best_map,score
阿仁吖,Vip,76561198858437612,作弊封禁,2020-03-16,Inf,3,None,None,None,None,None,
德国野香蕉丶,None,76561199032923657,作弊封禁,2020-03-16,Inf,7,None,None,AK47,0.30,None,
木骉,None,76561199030180183,作弊封禁,2020-03-16,Inf,0,None,None,None,None,None,
Ze1phrus,Vip,76561198409331974,作弊封禁,2020-03-17,Inf,40,None,None,SG 553,0.59,inferno,2341
你来上我来趟,None,76561198818376163,作弊封禁,2020-03-17,Inf,0,None,None,None,None,None,
夜凪景,None,76561198346739759,作弊封禁,2020-03-17,Inf,3,None,None,AK47,0.40,mirage,
ouyuan,Vip,76561198815800458,作弊封禁,2020-03-17,Inf,1,None,None,AWP,0.16,None,443
AolGei,None,76561198239551790,作弊封禁,2020-03-17,Inf,0,None,None,None,None,None,
Crysta1Lize丶,None,76561198388578756,作弊封禁,2020-03-17,Inf,6,None,None,AWP,0.09,None,
前职业选手..,None,76561199033940314,作弊封禁,2020-03-16,Inf,8,None,None,None,None,None,
职业法式刘海柱Zz,None,76561198894355571,作弊封禁,2020-03-17,Inf,9,None,None,AK47,0.30,None,1213
BANDIT_1,None,76561199001677048,作弊封禁,2020-03-17,Inf,5,None,None,SG 553,0.38,mirage,1360
