name,player_type,steam_id,reason,banned_time,release,complaint_times,register_days,playing_hours,best_weapon,best_weapon_heatshot,best_map
友田彩也香.,None,76561199031330767,作弊封禁,2020-03-12,Inf,4,None,None,AWP,0.09,None
guanyibei,None,76561198988236451,作弊封禁,2020-03-12,Inf,8,None,None,AWP,0.12,dust2
kevinzhoux,Vip,76561199005747390,作弊封禁,2020-03-12,Inf,3,None,None,None,None,None
gxgx6,None,76561199029559908,作弊封禁,2020-03-12,Inf,1,None,None,None,None,None
Shigure丨,None,76561198427756144,作弊封禁,2020-03-12,Inf,0,None,None,None,None,None
s1mple-陈刀仔,None,76561199031013703,作弊封禁,2020-03-12,Inf,1,None,None,M4A4,0.38,None
白给燕双鹰！,Svip,76561199006686292,作弊封禁,2020-03-12,Inf,16,68,152,None,None,None
东兴药杨哥,None,76561199030029175,作弊封禁,2020-03-12,Inf,17,None,None,AK47,0.53,inferno
犹豫败bei果断白gei,None,76561198844706370,作弊封禁,2020-03-12,Inf,0,None,None,None,None,None
Ankz,Svip,76561198993478757,作弊封禁,2020-03-12,Inf,19,148,117,None,None,None
vitoeee,Vip,76561198995758584,作弊封禁,2020-03-12,Inf,61,None,None,SG 553,0.34,mirage
莫迁归,Vip,76561199029178196,作弊封禁,2020-03-12,Inf,12,None,None,MP9,0.51,inferno
你这也能打到我？,Vip,76561199027098135,作弊封禁,2020-03-12,Inf,1,None,None,AK47,0.50,None
哈密瓜的味道,None,76561199024621753,破坏游戏秩序,2020-03-12,2020-03-17,46,None,242,Zeus x27,0.00,mirage
一发一个尼,Vip,76561199027078430,破坏游戏秩序,2020-03-12,2020-03-17,44,None,17,AK47,0.46,inferno
志气阿川,Vip,76561199026910447,破坏游戏秩序,2020-03-12,2020-03-17,23,None,7,AK47,0.52,None
突破手-Niko,Vip,76561199031477346,破坏游戏秩序,2020-03-12,2020-03-17,19,None,10,AK47,0.44,None
汤圆儿,Vip,76561198381167289,作弊封禁,2020-03-12,Inf,4,None,None,AWP,0.10,dust2
N1Kooo00,None,76561199012432485,作弊封禁,2020-03-12,Inf,24,None,None,AK47,0.45,mirage
500分扛把子,Svip,76561199010193976,作弊封禁,2020-03-12,Inf,22,90,48,None,None,None
发型总监GKing,Vip,76561198981284778,作弊封禁,2020-03-12,Inf,9,None,None,AK47,0.61,dust2
沐雪莉,Vip,76561198427366987,破坏游戏秩序,2020-03-12,2020-03-17,23,None,109,AK47,0.38,inferno
顶级自由人-lzzz,None,76561199030395738,作弊封禁,2020-03-12,Inf,16,None,None,AK47,0.52,mirage
laochaojun,Vip,76561198399664009,作弊封禁,2020-03-12,Inf,8,None,None,Negev,0.25,dust2
你与玫瑰皆为爱情,Svip,76561199026698588,作弊封禁,2020-03-12,Inf,15,24,15,None,None,None
大梦一场的董2千,None,76561199030432792,作弊封禁,2020-03-12,Inf,6,None,None,AWP,0.08,mirage
下饭好哥哥,None,76561199030905160,作弊封禁,2020-03-12,Inf,15,None,None,AK47,0.59,dust2
monesy^,None,76561199018638282,作弊封禁,2020-03-12,Inf,18,None,None,AK47,0.46,mirage
你拾七张牌能秒我,None,76561199031800509,作弊封禁,2020-03-12,Inf,5,None,None,AWP,0.12,None
我是小菜B别喷我,None,76561199027210081,作弊封禁,2020-03-12,Inf,4,None,None,SG 553,0.30,None
Z1ephyru1s,Vip,76561199025942822,作弊封禁,2020-03-12,Inf,33,None,None,AWP,0.15,inferno
♥樱岛麻衣T♥,None,76561199026988792,作弊封禁,2020-03-12,Inf,11,None,None,AK47,0.60,inferno
hacken96,None,76561198839912240,作弊封禁,2020-03-12,Inf,8,None,None,SG 553,0.35,mirage
Firstmarkeloff,Vip,76561198817527426,作弊封禁,2020-03-12,Inf,46,None,None,AWP,0.14,None
本尊还云图,None,76561199028942423,作弊封禁,2020-03-12,Inf,25,None,None,Zeus x27,0.00,None
NAVI_KOBI,Vip,76561198993860738,作弊封禁,2020-03-12,Inf,14,None,None,SG 553,0.35,inferno
10楼上有鬼,None,76561199026764796,作弊封禁,2020-03-12,Inf,5,None,None,SG 553,0.44,dust2
你把牛皮吹上天,Vip,76561198007824451,作弊封禁,2020-03-12,Inf,6,None,None,AK47,0.29,inferno
稳健的少年,None,76561198425015268,作弊封禁,2020-03-12,Inf,6,None,None,SG 553,0.59,None
lualove,None,76561199028673375,作弊封禁,2020-03-12,Inf,14,None,None,AWP,0.08,None
KLMY·WJR,Svip,76561198815460035,作弊封禁,2020-03-12,Inf,20,126,100,None,None,None
viewbliss,None,76561198873210991,作弊封禁,2020-03-12,Inf,7,None,None,AK47,0.46,mirage
MOUZ的ropz,None,76561199030670734,作弊封禁,2020-03-12,Inf,18,None,None,AWP,0.07,None
我可太猛了,None,76561199031436779,作弊封禁,2020-03-12,Inf,11,None,None,AK47,0.63,None
慢慢的干,None,76561198992570542,破坏游戏秩序,2020-03-12,2020-03-17,74,None,129,AK47,0.32,dust2
1839136340,None,76561199031180205,破坏游戏秩序,2020-03-12,2020-03-17,29,None,29,AK47,0.42,inferno
Noctis233,None,76561198346602357,破坏游戏秩序,2020-03-12,2020-03-17,58,None,308,AK47,0.36,train
卟卟小仙狗,None,76561198356560959,破坏游戏秩序,2020-03-12,2020-03-19,16,None,116,Desert Eagle,0.33,None
Aries.z,Vip,76561199030209072,破坏游戏秩序,2020-03-12,2020-03-17,17,None,6,AK47,0.46,None
fbzhebm6491346,None,76561199026341215,破坏游戏秩序,2020-03-12,2020-03-19,35,None,13,AK47,0.58,None
瞄了半天没打着,None,76561199028172502,作弊封禁,2020-03-12,Inf,7,None,None,AK47,0.37,None
棒！不愧是我,None,76561199031030054,破坏游戏秩序,2020-03-12,2020-03-19,15,None,3,Zeus x27,0.00,None
镇滇王沈玠,None,76561199012409064,破坏游戏秩序,2020-03-12,2020-03-19,48,None,29,AK47,0.32,dust2
牛子好香,None,76561199030857156,破坏游戏秩序,2020-03-12,2020-03-19,15,None,13,AK47,0.51,None
vgcjhdl1whp_4bdkxy,None,76561199024750125,作弊封禁,2020-03-12,Inf,14,None,None,AK47,0.50,None
牛子好吃吗,None,76561199030964158,破坏游戏秩序,2020-03-12,2020-03-19,16,None,13,Desert Eagle,0.34,None
我很厉害123,None,76561199028246953,作弊封禁,2020-03-12,Inf,37,None,None,MP7,0.77,None
这™又违规了？,None,76561199030981326,作弊封禁,2020-03-12,Inf,13,None,None,None,None,None
用户名在审核中,None,76561198323345297,破坏游戏秩序,2020-03-12,2020-03-17,59,None,823,AK47,0.40,cache
在你后面q,None,76561199031543802,破坏游戏秩序,2020-03-12,2020-03-19,16,None,5,AK47,0.32,None
她曾满目星河,Vip,76561198983302207,作弊封禁,2020-03-12,Inf,33,None,None,AK47,0.71,inferno
PENG-1P,Vip,76561199013001104,作弊封禁,2020-03-12,Inf,45,None,None,AK47,0.53,inferno
匪幻荒荒,Vip,76561199022325483,作弊封禁,2020-03-12,Inf,36,None,None,Desert Eagle,0.84,None
枪法逐渐老六,None,76561199031149216,破坏游戏秩序,2020-03-12,2020-03-19,12,None,3,AK47,0.27,None
WK丶KAI,None,76561198070309466,破坏游戏秩序,2020-03-12,2020-03-19,14,None,83,AK47,0.51,None
Nikedis,None,76561198273149774,作弊封禁,2020-03-12,Inf,63,None,None,Galil,0.39,inferno
婊怡,None,76561199023558868,作弊封禁,2020-03-12,Inf,47,None,None,SG 553,0.52,dust2
i1cy,None,76561198413881129,作弊封禁,2020-03-12,Inf,61,None,None,SG 553,0.37,inferno
JR❤灬,Vip,76561198356982938,作弊封禁,2020-03-12,Inf,18,None,None,AWP,0.13,dust2
乔碧萝榜一大哥,None,76561198860020267,作弊封禁,2020-03-12,Inf,18,None,None,SG 553,0.42,inferno
海琴烟的骑士,None,76561199029201570,破坏游戏秩序,2020-03-12,2020-03-19,19,None,15,AK47,0.33,None
陈爷工作室,None,76561198894135272,破坏游戏秩序,2020-03-12,2020-03-19,51,None,129,AWP,0.09,dust2
打爆猥琐的狗头,None,76561199031966374,作弊封禁,2020-03-12,Inf,19,None,None,None,None,None
✨斗鱼5789344,None,76561199031439624,破坏游戏秩序,2020-03-12,2020-03-19,23,None,11,AK47,0.41,dust2
我有一妹名叫穹,None,76561198411384129,作弊封禁,2020-03-12,Inf,18,None,None,SG 553,0.42,mirage
铁骨铮铮王镜泽,None,76561198870905831,破坏游戏秩序,2020-03-12,2020-04-12,19,None,291,AK47,0.46,mirage
JasonStatham，,None,76561199028326525,作弊封禁,2020-03-12,Inf,15,None,None,AK47,0.49,None
教练我想当老⑥,Svip,76561198990990883,作弊封禁,2020-03-12,Inf,100,47,183,None,None,None
求求你别在秒我了,None,76561199027348572,作弊封禁,2020-03-12,Inf,36,None,None,AK47,0.60,inferno
ʚ球球惹ɞ,None,76561198965292316,作弊封禁,2020-03-12,Inf,51,None,None,AK47,0.69,train
71岁老年想打PL,Svip,76561198118661331,作弊封禁,2020-03-12,Inf,76,179,444,None,None,None
万物桑佛,Vip,76561198411341906,作弊封禁,2020-03-12,Inf,38,None,None,AWP,0.12,dust2
对面大哥轻点,None,76561199030790052,作弊封禁,2020-03-12,Inf,16,None,None,SG 553,0.37,None
水之高兴-,Svip,76561198423430638,作弊封禁,2020-03-12,Inf,32,13,42,None,None,None
ukeepearlyhours,None,76561198976340628,作弊封禁,2020-03-12,Inf,5,None,None,AWP,0.07,None
宋.天天白给.书航,None,76561198816851052,游戏中恶意挂机,2020-03-12,2020-04-12,16,None,154,AK47,0.32,None
zihan213,None,76561198432316199,作弊封禁,2020-03-12,Inf,2,None,None,None,None,None
陆政廷xxx,Vip,76561198417449644,作弊封禁,2020-03-12,Inf,17,None,None,SG 553,0.26,inferno
酒⚡,Svip,76561198277995044,作弊封禁,2020-03-12,Inf,19,16,23,None,None,None
idjz843844,None,76561199026502282,作弊封禁,2020-03-12,Inf,36,None,None,AK47,0.60,inferno
真白不是椎名,None,76561199031036210,作弊封禁,2020-03-12,Inf,14,None,None,AWP,0.16,None
aa5710,None,76561198412920242,作弊封禁,2020-03-12,Inf,20,None,None,UMP,0.34,dust2
76Tabbycat,Svip,76561198820151117,作弊封禁,2020-03-12,Inf,18,34,98,None,None,None
cdj980520,None,76561198831401502,作弊封禁,2020-03-12,Inf,0,None,None,XM1014,0.39,None
除非花手摇过我Hh,Svip,76561198243980296,作弊封禁,2020-03-12,Inf,9,260,27,None,None,None
ｋｏ,None,76561198981275321,破坏游戏秩序,2020-03-12,2020-03-19,10,None,9,AK47,0.45,None
电脑玩家李爱华,None,76561199028142481,作弊封禁,2020-03-12,Inf,13,None,None,AWP,0.06,None
Summerays,None,76561198275424875,作弊封禁,2020-03-12,Inf,0,None,None,AK47,0.43,inferno
911-,None,76561198962458450,作弊封禁,2020-03-12,Inf,32,None,None,AK47,0.39,mirage
被动的哥,Vip,76561198215089313,作弊封禁,2020-03-12,Inf,44,None,None,AK47,0.68,inferno
我想she点什么,None,76561199028715666,作弊封禁,2020-03-12,Inf,23,None,None,M4A4,0.56,inferno
博叔叔,None,76561198399412149,作弊封禁,2020-03-12,Inf,9,None,None,AWP,0.12,dust2
顾鑫宇傻子,None,76561198817937113,作弊封禁,2020-03-12,Inf,1,None,None,SG 553,0.26,dust2
超级无敌睿睿,None,76561199030719755,作弊封禁,2020-03-12,Inf,2,None,None,None,None,None
啥啥不不.,None,76561199033035720,作弊封禁,2020-03-12,Inf,0,None,None,None,None,None
ltya15,None,76561199031509254,作弊封禁,2020-03-12,Inf,5,None,None,CT SCAR20,0.79,None
小凯弟弟5,None,76561199030587327,作弊封禁,2020-03-12,Inf,0,None,None,AWP,0.06,None
就炸你气不气,None,76561199017192164,作弊封禁,2020-03-12,Inf,3,None,None,None,None,None
反手就是YI枪,Vip,76561198825224619,作弊封禁,2020-03-12,Inf,5,None,None,AK47,0.54,None
听说你对我心动,None,76561199005449131,作弊封禁,2020-03-12,Inf,0,None,None,None,None,None
8yixt,None,76561199003372248,作弊封禁,2020-03-12,Inf,0,None,None,AK47,0.25,None
魔王_Dvivier,None,76561199028755819,作弊封禁,2020-03-12,Inf,40,None,None,AK47,0.29,None
阿秋升级版,Vip,76561199032103206,作弊封禁,2020-03-12,Inf,30,None,None,None,None,None
左手一弹指,None,76561199026212907,作弊封禁,2020-03-12,Inf,16,None,None,AK47,0.83,None
千里驰援杨华聪,None,76561199028155397,作弊封禁,2020-03-12,Inf,14,None,None,AK47,0.56,mirage
白给少年不想给,None,76561198402779765,作弊封禁,2020-03-12,Inf,1,None,None,None,None,None
xzx062300,None,76561198245160916,作弊封禁,2020-03-12,Inf,1,None,None,USP Silencer On,1.00,None
Reality*雷火杯,None,76561198870523435,作弊封禁,2020-03-12,Inf,3,None,None,AK47,0.67,None
SHI1ee,None,76561198864554148,作弊封禁,2020-03-12,Inf,30,None,None,AWP,0.12,inferno
东北爬山虎giao,None,76561199027662703,作弊封禁,2020-03-12,Inf,22,None,None,AK47,0.49,inferno
chuaN$hot4U,Svip,76561198968993186,作弊封禁,2020-03-12,Inf,54,145,182,None,None,None
k3kj4jogn31jaharyll5000,None,76561198431221980,作弊封禁,2020-03-12,Inf,7,None,None,None,None,None
十二·3·,None,76561199029498441,作弊封禁,2020-03-12,Inf,6,None,None,SG 553,0.64,inferno
theonenhup,Svip,76561199010743055,作弊封禁,2020-03-12,Inf,47,76,68,None,None,None
每天打一把,None,76561198374873975,作弊封禁,2020-03-12,Inf,5,None,None,AUG,0.25,dust2
YinyoungRen|QZ,None,76561199026818304,作弊封禁,2020-03-12,Inf,1,None,None,AWP,0.05,None
我柜孑动了,None,76561199031337856,作弊封禁,2020-03-12,Inf,10,None,None,M4A4,0.45,None
chenzhuo147,Vip,76561198962261361,作弊封禁,2020-03-12,Inf,17,None,None,AK47,0.52,overpass
